date,total_available,all_asking,all_net_eff,studio_asking,studio_net_eff,1br_asking,1br_net_eff,2br_asking,2br_net_eff,3br_asking,3br_net_eff
2026-06-08,326,3631.0,3305.0,2975,2710,3503,3188,4981,4559,6273,5699
2026-06-11,301,3771.0,3403.0,3136.0,2863.0,3721.0,3439.0,5043.0,4933.0,6476.0,6033.0
2026-06-12,296,3763.0,3409.0,3127.0,2863.0,3692.0,3420.0,5110.0,5018.0,6479.0,6033.0
2026-06-13,289,3758.0,3407.0,3136.0,2869.0,3695.0,3423.0,5109.0,5056.0,6479.0,6033.0
2026-06-14,277,3756.0,3411.0,3131.0,2868.0,3686.0,3427.0,5097.0,5058.0,6479.0,6033.0
2026-06-15,276,3757.0,3427.0,3132.0,2863.0,3672.0,3422.0,5157.0,5117.0,6675.0,6033.0
2026-06-16,306,3845.0,3511.0,3135.0,2857.0,3712.0,3436.0,5255.0,5012.0,6611.0,6109.0
2026-06-17,298,3876.0,3553.0,3157.0,2880.0,3706.0,3458.0,5261.0,5031.0,6557.0,6128.0
2026-06-18,302,3867.0,3583.0,3095.0,2877.0,3728.0,3478.0,5276.0,5059.0,6539.0,6051.0
2026-06-19,296,3864.0,3584.0,3077.0,2868.0,3728.0,3473.0,5276.0,5132.0,6459.0,5935.0
2026-06-20,293,3854.0,3575.0,3093.0,2870.0,3719.0,3470.0,5243.0,5111.0,6462.0,5935.0
2026-06-21,283,3855.0,3606.0,3097.0,2897.0,3719.0,3481.0,5185.0,5102.0,6451.0,5935.0
2026-06-22,269,3849.0,3580.0,3074.0,2883.0,3714.0,3466.0,5308.0,5149.0,6428.0,5980.0
2026-06-23,303,3866.0,3589.0,3129.0,2931.0,3716.0,3462.0,5372.0,5171.0,6440.0,5947.0
2026-06-24,293,3918.0,3603.0,3189.0,2937.0,3726.0,3472.0,5383.0,5190.0,6556.0,5938.0
2026-06-25,293,3885.0,3614.0,3102.0,2921.0,3713.0,3463.0,5356.0,5188.0,6553.0,5938.0
2026-06-26,280,3952.0,3634.0,3163.0,2939.0,3744.0,3463.0,5433.0,5163.0,6486.0,5938.0
2026-06-27,271,3937.0,3611.0,3150.0,2925.0,3744.0,3465.0,5408.0,5192.0,6576.0,5938.0
2026-06-28,240,3922.0,3599.0,3132.0,2925.0,3716.0,3447.0,5378.0,5203.0,6544.0,5899.0
2026-06-29,238,3959.0,3653.0,3117.0,2921.0,3722.0,3456.0,5452.0,5287.0,6539.0,5899.0
